City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Hami,CN,2021-01-14 12:33:09,42.8,93.45,19.22,81,81,1.05
124,Barrow,US,2021-01-14 12:29:47,71.2906,-156.7887,-9.4,77,1,14.97
125,Tasiilaq,GL,2021-01-14 12:32:30,65.6145,-37.6368,35.6,80,75,11.59
126,Kirando,TZ,2021-01-14 12:36:27,-7.4167,30.6,78.46,68,91,3.51
127,Alice Springs,AU,2021-01-14 12:36:28,-23.7,133.8833,89.6,22,0,5.75
128,Puerto Baquerizo Moreno,EC,2021-01-14 12:32:36,-0.9,-89.6,74.21,90,72,11.01
129,Sao Domingos,BR,2021-01-14 12:36:28,-13.3983,-46.3183,79.95,67,100,6.76
130,Nikolskoye,RU,2021-01-14 12:31:41,59.7035,30.7861,8.01,78,40,4.47
131,Nouadhibou,MR,2021-01-14 12:33:06,20.931,-17.0347,69.8,28,71,19.57
132,Sattenapalle,IN,2021-01-14 12:36:29,16.4,80.1833,82.4,57,0,6.24
133,Grindavik,IS,2021-01-14 12:32:02,63.8424,-22.4338,39.2,87,75,17.27
134,Fort Nelson,CA,2021-01-14 12:33:45,58.8053,-122.7002,6.8,85,1,4.61
135,Waslala,NI,2021-01-14 12:36:29,13.2333,-85.3833,62.6,94,75,13.8
136,Porosozero,RU,2021-01-14 12:36:30,62.7191,32.727,-15.57,88,24,5.84
137,Qaanaaq,GL,2021-01-14 12:32:01,77.484,-69.3632,-0.04,74,53,5.88
138,Avarua,CK,2021-01-14 12:32:15,-21.2078,-159.775,78.8,83,75,4.61
139,Atuona,PF,2021-01-14 12:32:16,-9.8,-139.0333,76.73,80,21,12.55
140,General Pico,AR,2021-01-14 12:36:20,-35.6566,-63.7568,79.99,26,56,18.19
141,Mao,ES,2021-01-14 12:33:13,39.8885,4.2658,53.6,71,40,4.61
142,Cherskiy,RU,2021-01-14 12:32:53,68.75,161.3,-27.6,86,63,3.33
143,Sinnamary,GF,2021-01-14 12:36:31,5.3833,-52.95,78.78,85,17,13.18
144,Sabha,LY,2021-01-14 12:36:31,27.0377,14.4283,60.53,30,0,4.36
145,Coahuayana,MX,2021-01-14 12:33:55,18.7333,-103.6833,74.55,46,96,4.23
146,Cerrito,CO,2021-01-14 12:36:32,6.8432,-72.694,68.0,100,20,5.75
147,Santa Marta,CO,2021-01-14 12:35:10,11.2408,-74.199,79.0,73,99,7.0
148,Humberto De Campos,BR,2021-01-14 12:36:32,-2.5983,-43.4611,83.43,71,95,11.05
149,Kokopo,PG,2021-01-14 12:36:33,-4.352,152.2633,80.06,78,93,2.37
150,Mineros,BO,2021-01-14 12:36:33,-17.1167,-63.2333,75.2,88,90,9.22
151,Kangaatsiaq,GL,2021-01-14 12:36:33,68.3065,-53.4641,16.05,96,100,5.46
152,Lata,PT,2021-01-14 12:32:26,40.1629,-8.3327,54.0,72,0,8.99
