City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
103,Biak,ID,-0.9131,122.8766,81.55,72,99,1.81,overcast clouds
104,Port Elizabeth,ZA,-33.918,25.5701,71.6,73,0,16.11,clear sky
105,Chicama,PE,-7.8447,-79.1469,71.46,78,71,2.53,broken clouds
106,Pevek,RU,69.7008,170.3133,-23.06,85,21,1.81,few clouds
107,Arraial Do Cabo,BR,-22.9661,-42.0278,75.13,84,0,27.98,clear sky
108,Port Hardy,CA,50.6996,-127.4199,44.6,87,90,8.05,light rain
109,Hobart,AU,-42.8794,147.3294,66.2,48,75,17.27,broken clouds
110,Batagay-Alyta,RU,67.8006,130.4114,-31.32,82,100,1.95,overcast clouds
111,Thompson,CA,55.7435,-97.8558,-4.0,84,1,9.22,snow
112,Yulara,AU,-25.2406,130.9889,89.6,15,0,14.97,clear sky
113,Kushmurun,KZ,52.4503,64.6311,13.8,92,0,19.71,clear sky
114,Bilma,NE,18.6853,12.9164,60.01,31,0,12.95,clear sky
115,Chuy,UY,-33.6971,-53.4616,66.43,91,1,3.74,clear sky
116,Maceio,BR,-9.6658,-35.7353,71.6,94,40,3.44,scattered clouds
117,Atuona,PF,-9.8,-139.0333,77.83,81,3,15.61,clear sky
118,Itaberaba,BR,-12.5275,-40.3069,64.02,94,21,2.35,few clouds
119,San Cristobal,VE,7.7669,-72.225,62.64,86,31,2.66,scattered clouds
120,Butaritari,KI,3.0707,172.7902,80.82,78,56,19.37,broken clouds
121,Billericay,GB,51.6287,0.4196,39.99,87,77,1.01,broken clouds
122,Sechura,PE,-5.5569,-80.8222,71.33,81,98,11.43,overcast clouds
123,Tigil,RU,57.8,158.6667,4.26,90,48,4.79,scattered clouds
124,Adrar,MR,20.5022,-10.0711,55.06,31,82,13.51,broken clouds
125,Antofagasta,CL,-23.65,-70.4,62.6,88,20,2.3,few clouds
126,Kirakira,SB,-10.4544,161.9205,83.88,70,32,4.65,scattered clouds
127,Thurso,GB,58.5927,-3.5259,39.2,87,40,14.97,scattered clouds
128,Lima,PE,-12.0432,-77.0282,68.0,88,0,11.5,clear sky
129,Beringovskiy,RU,63.05,179.3167,-8.77,89,100,10.02,overcast clouds
130,Rosetta,EG,31.4044,30.4164,57.2,67,40,16.11,scattered clouds
131,Mana,GF,5.6592,-53.7767,76.75,85,24,8.41,few clouds
132,Naron,ES,43.5167,-8.1528,52.0,100,90,5.75,overcast clouds
133,Ribeira Grande,PT,38.5167,-28.7,63.14,86,100,26.64,overcast clouds
134,Andenes,NO,69.3143,16.1194,33.01,93,40,9.22,scattered clouds
135,Kvarkeno,RU,52.0833,59.725,15.6,95,100,21.81,overcast clouds
136,Nuuk,GL,64.1835,-51.7216,26.6,93,90,31.07,snow
137,Campo Grande,BR,-20.4428,-54.6464,71.6,94,40,8.05,scattered clouds
138,Marsabit,KE,2.3284,37.9899,71.62,72,69,13.91,broken clouds
139,Wladyslawowo,PL,54.7909,18.4009,6.8,92,75,1.14,broken clouds
140,Mahebourg,MU,-20.4081,57.7,86.0,70,75,13.8,broken clouds
141,Kurduvadi,IN,18.0833,75.4333,85.53,36,0,11.01,clear sky
142,Gwembe,ZM,-16.4975,27.6069,67.93,96,100,8.84,light rain
143,Grindavik,IS,63.8424,-22.4338,35.6,75,75,11.5,broken clouds
144,Mayo,US,38.8876,-76.5119,37.4,55,1,5.75,clear sky
145,Richards Bay,ZA,-28.783,32.0377,74.41,80,99,8.81,overcast clouds
146,Vestmannaeyjar,IS,63.4427,-20.2734,39.56,72,47,18.66,scattered clouds
147,Kamenka,RU,51.3223,42.7678,-4.25,92,95,6.22,overcast clouds
148,Faya,SA,18.3851,42.4509,60.8,44,0,11.5,clear sky
149,Zhigansk,RU,66.7697,123.3711,-41.6,81,91,5.12,overcast clouds
150,Simbahan,PH,6.3032,120.5836,80.01,83,100,11.16,light rain
151,Lianran,CN,24.9227,102.485,36.0,74,90,15.66,light snow
152,Kristiinankaupunki,FI,62.2743,21.376,25.3,98,99,7.47,overcast clouds
153,Coquimbo,CL,-29.9533,-71.3436,57.2,88,0,3.44,clear sky
154,Moundou,TD,8.5667,16.0833,64.4,68,0,4.43,haze
155,Westport,US,41.1415,-73.3579,36.0,77,0,15.93,clear sky
156,Heihe,CN,50.2441,127.4902,-13.0,77,40,4.47,light snow
