City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
93,Kruisfontein,ZA,75.0,light rain,-34.0033,24.7314,Oyster Bay House Rental
97,Bredasdorp,ZA,68.0,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
99,Cabo San Lucas,MX,57.99,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
100,Grand-Lahou,CI,77.83,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
101,Cidreira,BR,73.18,overcast clouds,-30.1811,-50.2056,Hotel Castelo
102,San Roque,ES,55.4,broken clouds,36.2107,-5.3842,Hotel Guadacorte Park
103,Biak,ID,81.55,overcast clouds,-0.9131,122.8766,Penginapan Kim
104,Port Elizabeth,ZA,71.6,clear sky,-33.918,25.5701,39 On Nile Guest House
105,Chicama,PE,71.46,broken clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
107,Arraial Do Cabo,BR,75.13,clear sky,-22.9661,-42.0278,Pousada Porto Praia
109,Hobart,AU,66.2,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
112,Yulara,AU,89.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
114,Bilma,NE,60.01,clear sky,18.6853,12.9164,Expeditions Ténére voyages
115,Chuy,UY,66.43,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
116,Maceio,BR,71.6,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
117,Atuona,PF,77.83,clear sky,-9.8,-139.0333,Villa Enata
118,Itaberaba,BR,64.02,few clouds,-12.5275,-40.3069,Araújo Hotel
119,San Cristobal,VE,62.64,scattered clouds,7.7669,-72.225,Pirineos
120,Butaritari,KI,80.82,broken clouds,3.0707,172.7902,Isles Sunset Lodge
122,Sechura,PE,71.33,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
124,Adrar,MR,55.06,broken clouds,20.5022,-10.0711,
125,Antofagasta,CL,62.6,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
126,Kirakira,SB,83.88,scattered clouds,-10.4544,161.9205,SanBiz Lodge
128,Lima,PE,68.0,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
130,Rosetta,EG,57.2,scattered clouds,31.4044,30.4164,Green Valley
131,Mana,GF,76.75,few clouds,5.6592,-53.7767,LE SAMANA
132,Naron,ES,52.0,overcast clouds,43.5167,-8.1528,Marcial
133,Ribeira Grande,PT,63.14,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
137,Campo Grande,BR,71.6,scattered clouds,-20.4428,-54.6464,Hotel Harbor Self Buriti Suítes Campo Grande
138,Marsabit,KE,71.62,broken clouds,2.3284,37.9899,Chicho Hotel
140,Mahebourg,MU,86.0,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
141,Kurduvadi,IN,85.53,clear sky,18.0833,75.4333,Trimurti Hotel and Lodging
142,Gwembe,ZM,67.93,light rain,-16.4975,27.6069,
145,Richards Bay,ZA,74.41,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
148,Faya,SA,60.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
150,Simbahan,PH,80.01,light rain,6.3032,120.5836,
153,Coquimbo,CL,57.2,clear sky,-29.9533,-71.3436,Hotel San Juan
154,Moundou,TD,64.4,haze,8.5667,16.0833,Planete Life
158,Parakan,ID,86.99,moderate rain,-6.4191,106.0081,Nandar
159,Waipawa,NZ,68.0,broken clouds,-41.4122,175.5153,Tora Coastal Walk
161,Byron Bay,AU,80.6,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
162,Marsa Matruh,EG,53.6,light rain,31.3525,27.2453,Beau Site
165,Gwadar,PK,71.64,clear sky,25.1216,62.3254,Sadaf Resort
168,Belmonte,BR,73.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
172,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
176,Itacare,BR,74.1,clear sky,-14.2775,-38.9967,Ecoporan Hotel Charme Spa & Eventos
179,Prachuap Khiri Khan,TH,82.4,few clouds,12.2167,99.75,สมบัติยาย
180,Te Anau,NZ,56.52,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
182,Lebu,CL,54.73,clear sky,-37.6167,-73.65,Hostal Las Lilas
183,San Quintin,MX,61.54,clear sky,30.4833,-115.95,Old Mill Hotel
185,Bullhead City,US,66.2,clear sky,35.1478,-114.5683,Harrah's Laughlin
186,Hermanus,ZA,75.99,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
188,Parati,BR,76.69,overcast clouds,-23.2178,-44.7131,Che Lagarto Paraty
191,Auki,SB,83.1,clear sky,-8.7676,160.7034,Auki Motel
195,Kousseri,CM,60.8,clear sky,12.0769,15.0306,Résidence le Palmier
198,Fuzhou,CN,51.8,clear sky,26.0614,119.3061,Shangri La Hotel Fuzhou
199,Kaitangata,NZ,57.0,light rain,-46.2817,169.8464,Kaitangata Motor Camp
